id;nom;adresse;email
1;mélancolique;revêtir perplexe guère;Apollinaire.Guillot69@yahoo.fr
2;suivant;estimer;Simone_Mathieu@gmail.com
3;auprès de d’autant que au-dedans de;à cause de;Renee.Moulin40@gmail.com
4;snob cadre;afin que;Armel4@yahoo.fr
5;a ci sans doute;affable;Macaire_Boyer@hotmail.fr
6;quoique ruiner;cocorico atténuer bouffer;Maxime11@hotmail.fr
7;chut;équipe;Honore.Mercier72@hotmail.fr
8;parce que amorphe;après que tellement;Francisque_Marie@yahoo.fr
9;cocorico lorsque fourbe;construire manger;Stephane_Leroy54@hotmail.fr
10;simple antagoniste rattraper;délectable de peur de responsable;Apolline.Morin20@yahoo.fr
